date,date,waterlv,watertemp,sealv,precip,temp,vwind,dwind,wind,sin,cos,precip1,precip2,precip3,precip4,precip5,precipsum,meantemp
2008-09-28,2008-09-28,62.59,12.49,479.33,0.9,13.15,7.75,255.0,4.4505895925855405,-0.9659258262890683,-0.25881904510252063,0.0,0.0,0.0,0.0,0.0,-1.224744871391589,11.116000000000001
2008-09-29,2008-09-29,61.62,12.47,493.0,5.7,10.96,6.13,240.0,4.1887902047863905,-0.8660254037844384,-0.5000000000000004,0.9,0.0,0.0,0.0,0.0,-0.4660254037844388,11.319999999999999
2008-09-30,2008-09-30,61.48,12.44,492.0,2.4,10.29,6.13,207.5,3.6215581978882336,-0.46174861323503374,-0.8870108331782218,5.7,0.9,0.0,0.0,0.0,5.2512405535867455,11.34
2008-10-01,2008-10-01,61.23,12.42,493.5,9.6,11.06,9.25,213.75,3.7306412761378795,-0.5555702330196023,-0.8314696123025452,2.4,5.7,0.9,0.0,0.0,7.612960154677853,11.388
2008-10-02,2008-10-02,61.33,12.4,497.83,0.0,10.3,11.38,220.0,3.839724354387525,-0.6427876096865393,-0.766044443118978,9.6,2.4,5.7,0.9,0.0,16.291167947194484,11.692
2008-10-03,2008-10-03,63.72,12.39,506.17,0.2,9.19,7.0,211.25,3.6870080448380214,-0.5187732581605216,-0.8549118706729465,0.0,9.6,2.4,5.7,0.9,10.626314871166532,11.152
2008-10-04,2008-10-04,65.63,12.37,506.5,0.0,8.95,6.38,225.0,3.9269908169872414,-0.7071067811865475,-0.7071067811865477,0.2,0.0,9.6,2.4,5.7,8.385786437626905,10.360000000000001
2008-10-05,2008-10-05,66.91,12.35,483.67,0.5,8.83,7.88,198.75,3.46884188833873,-0.32143946530316153,-0.9469301294951057,0.0,0.2,0.0,9.6,2.4,-1.0683695947982672,9.958
2008-10-06,2008-10-06,67.23,12.33,504.67,0.0,9.7,3.13,237.5,4.145156973486532,-0.8433914458128855,-0.5372996083468242,0.5,0.0,0.2,0.0,9.6,-0.6806910541597098,9.666
2008-10-07,2008-10-07,67.23,12.3,513.67,0.0,6.55,1.88,162.5,2.8361600344907854,0.30070579950427334,-0.9537169507482268,0.0,0.5,0.0,0.2,0.0,-0.15301115124395348,9.394
